GEO_ID,NAME,DATA
Geography,Geographic Area Name,Median Income
25009217500,"Census Tract 2175, Essex County, Massachusetts",143750
25009217601,"Census Tract 2176.01, Essex County, Massachusetts",147386
25009217602,"Census Tract 2176.02, Essex County, Massachusetts",224529
25009218100,"Census Tract 2181, Essex County, Massachusetts",237434
25009220101,"Census Tract 2201.01, Essex County, Massachusetts",130078
25009220102,"Census Tract 2201.02, Essex County, Massachusetts",110337
25009221100,"Census Tract 2211, Essex County, Massachusetts",123047
25009221300,"Census Tract 2213, Essex County, Massachusetts",131326
25009221400,"Census Tract 2214, Essex County, Massachusetts",59647
25009221500,"Census Tract 2215, Essex County, Massachusetts",84550
25009221600,"Census Tract 2216, Essex County, Massachusetts",53000
25009221700,"Census Tract 2217, Essex County, Massachusetts",91563
25009221800,"Census Tract 2218, Essex County, Massachusetts",114632
25009221901,"Census Tract 2219.01, Essex County, Massachusetts",114453
25009221902,"Census Tract 2219.02, Essex County, Massachusetts",108438
25009222100,"Census Tract 2221, Essex County, Massachusetts",125662
25009223100,"Census Tract 2231, Essex County, Massachusetts",146528
25009223200,"Census Tract 2232, Essex County, Massachusetts",135443
25009223300,"Census Tract 2233, Essex County, Massachusetts",167924
25009250100,"Census Tract 2501, Essex County, Massachusetts",40282
25009250200,"Census Tract 2502, Essex County, Massachusetts",76426
25009250300,"Census Tract 2503, Essex County, Massachusetts",51466
25009250400,"Census Tract 2504, Essex County, Massachusetts",45344
25009250500,"Census Tract 2505, Essex County, Massachusetts",47341
25009250600,"Census Tract 2506, Essex County, Massachusetts",55227
25009250700,"Census Tract 2507, Essex County, Massachusetts",52526
25009250800,"Census Tract 2508, Essex County, Massachusetts",47476
25009250900,"Census Tract 2509, Essex County, Massachusetts",25417
25009251000,"Census Tract 2510, Essex County, Massachusetts",53750
25009251100,"Census Tract 2511, Essex County, Massachusetts",75985
25009251200,"Census Tract 2512, Essex County, Massachusetts",37000
25009251300,"Census Tract 2513, Essex County, Massachusetts",43488
25009251400,"Census Tract 2514, Essex County, Massachusetts",50996
25009251500,"Census Tract 2515, Essex County, Massachusetts",48208
25009251600,"Census Tract 2516, Essex County, Massachusetts",47092
25009251700,"Census Tract 2517, Essex County, Massachusetts",68523
25009251800,"Census Tract 2518, Essex County, Massachusetts",77950
25009252101,"Census Tract 2521.01, Essex County, Massachusetts",74761
25009252102,"Census Tract 2521.02, Essex County, Massachusetts",134400
25009252201,"Census Tract 2522.01, Essex County, Massachusetts",100727
25009252202,"Census Tract 2522.02, Essex County, Massachusetts",117403
25009252300,"Census Tract 2523, Essex County, Massachusetts",83039
25009252400,"Census Tract 2524, Essex County, Massachusetts",60104
25009252501,"Census Tract 2525.01, Essex County, Massachusetts",84918
25009252502,"Census Tract 2525.02, Essex County, Massachusetts",102321
