GEO_ID,NAME,S1901_C02_012E,field_259
Geography,Geographic Area Name,Estimate!!Families!!Median income (dollars),
1400000US25009207000,"Census Tract 2070, Essex County, Massachusetts","37429",
1400000US25009207100,"Census Tract 2071, Essex County, Massachusetts","69875",
1400000US25009207200,"Census Tract 2072, Essex County, Massachusetts","65000",
1400000US25009208101,"Census Tract 2081.01, Essex County, Massachusetts","103554",
1400000US25009208102,"Census Tract 2081.02, Essex County, Massachusetts","112471",
1400000US25009208200,"Census Tract 2082, Essex County, Massachusetts","103009",
1400000US25009208301,"Census Tract 2083.01, Essex County, Massachusetts","93135",
1400000US25009208302,"Census Tract 2083.02, Essex County, Massachusetts","97432",
1400000US25009208401,"Census Tract 2084.01, Essex County, Massachusetts","118239",
1400000US25009208402,"Census Tract 2084.02, Essex County, Massachusetts","128654",
1400000US25009209100,"Census Tract 2091, Essex County, Massachusetts","155813",
1400000US25009209200,"Census Tract 2092, Essex County, Massachusetts","197000",
1400000US25009210100,"Census Tract 2101, Essex County, Massachusetts","144957",
1400000US25009210200,"Census Tract 2102, Essex County, Massachusetts","126106",
1400000US25009210301,"Census Tract 2103.01, Essex County, Massachusetts","102955",
1400000US25009210302,"Census Tract 2103.02, Essex County, Massachusetts","105910",
1400000US25009210401,"Census Tract 2104.01, Essex County, Massachusetts","54911",
1400000US25009210402,"Census Tract 2104.02, Essex County, Massachusetts","116203",
1400000US25009210500,"Census Tract 2105, Essex County, Massachusetts","135717",
1400000US25009210600,"Census Tract 2106, Essex County, Massachusetts","104519",
1400000US25009210700,"Census Tract 2107, Essex County, Massachusetts","55119",
1400000US25009210800,"Census Tract 2108, Essex County, Massachusetts","90180",
1400000US25009210900,"Census Tract 2109, Essex County, Massachusetts","97500",
1400000US25009211100,"Census Tract 2111, Essex County, Massachusetts","91159",
1400000US25009211201,"Census Tract 2112.01, Essex County, Massachusetts","143088",
1400000US25009211202,"Census Tract 2112.02, Essex County, Massachusetts","103864",
1400000US25009211300,"Census Tract 2113, Essex County, Massachusetts","155139",
1400000US25009211401,"Census Tract 2114.01, Essex County, Massachusetts","108182",
1400000US25009211402,"Census Tract 2114.02, Essex County, Massachusetts","112917",
1400000US25009212101,"Census Tract 2121.01, Essex County, Massachusetts","181690",
1400000US25009212102,"Census Tract 2121.02, Essex County, Massachusetts","134571",
1400000US25009213100,"Census Tract 2131, Essex County, Massachusetts","195515",
1400000US25009214100,"Census Tract 2141, Essex County, Massachusetts","182111",
1400000US25009215101,"Census Tract 2151.01, Essex County, Massachusetts","136509",
1400000US25009215102,"Census Tract 2151.02, Essex County, Massachusetts","132054",
1400000US25009216100,"Census Tract 2161, Essex County, Massachusetts","166719",
1400000US25009217101,"Census Tract 2171.01, Essex County, Massachusetts","127727",
1400000US25009217102,"Census Tract 2171.02, Essex County, Massachusetts","111750",
1400000US25009217201,"Census Tract 2172.01, Essex County, Massachusetts","126250",
1400000US25009217202,"Census Tract 2172.02, Essex County, Massachusetts","138415",
1400000US25009217300,"Census Tract 2173, Essex County, Massachusetts","95163",
1400000US25009217401,"Census Tract 2174.01, Essex County, Massachusetts","57618",
1400000US25009217402,"Census Tract 2174.02, Essex County, Massachusetts","69329",
1400000US25009217500,"Census Tract 2175, Essex County, Massachusetts","143750",
1400000US25009217601,"Census Tract 2176.01, Essex County, Massachusetts","147386",
1400000US25009217602,"Census Tract 2176.02, Essex County, Massachusetts","224529",
1400000US25009218100,"Census Tract 2181, Essex County, Massachusetts","237434",
1400000US25009220101,"Census Tract 2201.01, Essex County, Massachusetts","130078",
1400000US25009220102,"Census Tract 2201.02, Essex County, Massachusetts","110337",
1400000US25009221100,"Census Tract 2211, Essex County, Massachusetts","123047",
1400000US25009221300,"Census Tract 2213, Essex County, Massachusetts","131326",
1400000US25009221400,"Census Tract 2214, Essex County, Massachusetts","59647",
1400000US25009221500,"Census Tract 2215, Essex County, Massachusetts","84550",
1400000US25009221600,"Census Tract 2216, Essex County, Massachusetts","53000",
1400000US25009221700,"Census Tract 2217, Essex County, Massachusetts","91563",
1400000US25009221800,"Census Tract 2218, Essex County, Massachusetts","114632",
1400000US25009221901,"Census Tract 2219.01, Essex County, Massachusetts","114453",
1400000US25009221902,"Census Tract 2219.02, Essex County, Massachusetts","108438",
1400000US25009222100,"Census Tract 2221, Essex County, Massachusetts","125662",
1400000US25009223100,"Census Tract 2231, Essex County, Massachusetts","146528",
1400000US25009223200,"Census Tract 2232, Essex County, Massachusetts","135443",
1400000US25009223300,"Census Tract 2233, Essex County, Massachusetts","167924",
1400000US25009250100,"Census Tract 2501, Essex County, Massachusetts","40282",
1400000US25009250200,"Census Tract 2502, Essex County, Massachusetts","76426",
1400000US25009250300,"Census Tract 2503, Essex County, Massachusetts","51466",
1400000US25009250400,"Census Tract 2504, Essex County, Massachusetts","45344",
1400000US25009250500,"Census Tract 2505, Essex County, Massachusetts","47341",
1400000US25009250600,"Census Tract 2506, Essex County, Massachusetts","55227",
1400000US25009250700,"Census Tract 2507, Essex County, Massachusetts","52526",
1400000US25009250800,"Census Tract 2508, Essex County, Massachusetts","47476",
1400000US25009250900,"Census Tract 2509, Essex County, Massachusetts","25417",
1400000US25009251000,"Census Tract 2510, Essex County, Massachusetts","53750",
1400000US25009251100,"Census Tract 2511, Essex County, Massachusetts","75985",
1400000US25009251200,"Census Tract 2512, Essex County, Massachusetts","37000",
1400000US25009251300,"Census Tract 2513, Essex County, Massachusetts","43488",
1400000US25009251400,"Census Tract 2514, Essex County, Massachusetts","50996",
1400000US25009251500,"Census Tract 2515, Essex County, Massachusetts","48208",
1400000US25009251600,"Census Tract 2516, Essex County, Massachusetts","47092",
1400000US25009251700,"Census Tract 2517, Essex County, Massachusetts","68523",
1400000US25009251800,"Census Tract 2518, Essex County, Massachusetts","77950",
1400000US25009252101,"Census Tract 2521.01, Essex County, Massachusetts","74761",
1400000US25009252102,"Census Tract 2521.02, Essex County, Massachusetts","134400",
1400000US25009252201,"Census Tract 2522.01, Essex County, Massachusetts","100727",
1400000US25009252202,"Census Tract 2522.02, Essex County, Massachusetts","117403",
1400000US25009252300,"Census Tract 2523, Essex County, Massachusetts","83039",
1400000US25009252400,"Census Tract 2524, Essex County, Massachusetts","60104",
1400000US25009252501,"Census Tract 2525.01, Essex County, Massachusetts","84918",
1400000US25009252502,"Census Tract 2525.02, Essex County, Massachusetts","102321",
1400000US25009252601,"Census Tract 2526.01, Essex County, Massachusetts","101988",
1400000US25009252602,"Census Tract 2526.02, Essex County, Massachusetts","122841",
1400000US25009252603,"Census Tract 2526.03, Essex County, Massachusetts","123008",
1400000US25009253100,"Census Tract 2531, Essex County, Massachusetts","106996",
1400000US25009253201,"Census Tract 2532.01, Essex County, Massachusetts","144286",
1400000US25009253202,"Census Tract 2532.02, Essex County, Massachusetts","103173",
1400000US25009253203,"Census Tract 2532.03, Essex County, Massachusetts","210066",
1400000US25009253204,"Census Tract 2532.04, Essex County, Massachusetts","185185",
1400000US25009253205,"Census Tract 2532.05, Essex County, Massachusetts","243457",
1400000US25009254100,"Census Tract 2541, Essex County, Massachusetts","163424",
1400000US25009254200,"Census Tract 2542, Essex County, Massachusetts","189500",
1400000US25009254301,"Census Tract 2543.01, Essex County, Massachusetts","250,000+",
1400000US25009254302,"Census Tract 2543.02, Essex County, Massachusetts","219079",
1400000US25009254401,"Census Tract 2544.01, Essex County, Massachusetts","172697",
1400000US25009254402,"Census Tract 2544.02, Essex County, Massachusetts","180907",
1400000US25009254403,"Census Tract 2544.03, Essex County, Massachusetts","214464",
